model,accuracy,precision,recall,f1,cross_entropy_loss
Random Forest (Ensemble),0.8353846153846154,0.8448471121177803,0.9064398541919806,0.8745603751465416,0.3847275315766351
SVM (RBF Kernel),0.7753846153846153,0.7953281423804227,0.8687727825030377,0.8304297328687572,0.47919328579149595
Logistic Regression,0.7392307692307692,0.7665198237885462,0.8456865127582017,0.804159445407279,0.515611038801167
Naive Bayes (Gaussian),0.6815384615384615,0.7215601300108342,0.8092345078979344,0.7628865979381443,0.7880495448980661
